SCIENTIFIC NAME;OBSERVATION COUNT;LATITUDE;LONGITUDE;OBSERVATION DATE;STATE;YEAR;WEEK OF YEAR
Ardea alba;2;51.1904302;22.7658738;19.08.1990;województwo lubelskie;1990;33
Ardea alba;-100;53.2836461;19.4777087;25.07.1993;województwo kujawsko-pomorskie;1993;29
Ardea alba;-100;53.2836461;19.4777087;25.07.1993;województwo kujawsko-pomorskie;1993;29
Ardea alba;1;51.57963;17.803619;31.07.1993;województwo wielkopolskie;1993;30
Ardea alba;8;54.7299732;17.4730682;03.08.1993;województwo pomorskie;1993;31
Ardea alba;8;54.7299732;17.4730682;03.08.1993;województwo pomorskie;1993;31
Ardea alba;1;51.5134432;16.9934893;10.07.1994;województwo dolnośląskie;1994;27
Ardea alba;2;51.0755834;21.801286;01.09.1994;województwo lubelskie;1994;35
Ardea alba;2;51.0755834;21.801286;06.09.1994;województwo lubelskie;1994;36
Ardea alba;1;50.0047016;19.4818765;07.09.1994;województwo małopolskie;1994;36
Ardea alba;6;50.3467501;20.7334912;22.10.1994;województwo świętokrzyskie;1994;42
Ardea alba;-100;50.0159704;19.4024121;23.04.1995;województwo małopolskie;1995;16
Ardea alba;1;52.9401557;23.7570763;14.05.1995;województwo podlaskie;1995;19
Ardea alba;1;51.0755834;21.801286;19.08.1995;województwo lubelskie;1995;33
Ardea alba;1;51.1904302;22.7658738;22.09.1996;województwo lubelskie;1996;38
Ardea alba;1;52.9345689;23.8265991;26.05.1997;województwo podlaskie;1997;22
Ardea alba;2;52.5687862;14.6664048;02.11.1997;województwo lubuskie;1997;44
Ardea alba;1;53.2754038;22.4573301;02.05.1998;województwo podlaskie;1998;18
Ardea alba;2;52.5920472;14.789443;27.06.1998;województwo lubuskie;1998;26
Ardea alba;2;50.7950434;23.9551474;01.08.1998;województwo lubelskie;1998;31
Ardea alba;1;51.5134432;16.9934893;26.09.1999;województwo dolnośląskie;1999;38
Ardea alba;23;50.0159704;19.4024121;02.10.1999;województwo małopolskie;1999;39
