SCIENTIFIC NAME;OBSERVATION COUNT;LATITUDE;LONGITUDE;OBSERVATION DATE;STATE;YEAR;WEEK OF YEAR
Buteo buteo;2;54.5559267;16.814189;30.06.1970;województwo pomorskie;1970;27
Buteo buteo;4;54.7628229;17.5460243;30.06.1970;województwo pomorskie;1970;27
Buteo buteo;2;53.8959095;14.492286;28.06.1970;województwo zachodniopomorskie;1970;26
Buteo buteo;1;52.8117684;15.0569762;23.07.1970;województwo lubuskie;1970;30
Buteo buteo;2;52.7834967;23.0916309;15.07.1970;województwo podlaskie;1970;29
Buteo buteo;1;52.7061066;23.7997127;13.07.1970;województwo podlaskie;1970;29
Buteo buteo;1;53.8344772;23.0064476;09.07.1970;województwo podlaskie;1970;28
Buteo buteo;3;52.7061066;23.7997127;14.07.1970;województwo podlaskie;1970;29
Buteo buteo;2;52.7008038;23.8633215;11.07.1970;województwo podlaskie;1970;28
Buteo buteo;1;52.9169732;23.5210075;10.07.1970;województwo podlaskie;1970;28
Buteo buteo;3;53.8282248;20.8098756;05.07.1970;województwo warmińsko-mazurskie;1970;27
Buteo buteo;2;53.801107;21.636318;06.07.1970;województwo warmińsko-mazurskie;1970;28
Buteo buteo;2;53.801107;21.636318;07.07.1970;województwo warmińsko-mazurskie;1970;28
Buteo buteo;1;53.9247239;14.278627;25.07.1970;województwo zachodniopomorskie;1970;30
Buteo buteo;2;53.8959095;14.492286;24.07.1970;województwo zachodniopomorskie;1970;30
Buteo buteo;1;53.3328207;19.4345999;08.07.1975;województwo kujawsko-pomorskie;1975;28
Buteo buteo;1;54.1569281;22.4169782;12.03.1978;województwo warmińsko-mazurskie;1978;10
Buteo buteo;2;54.1569281;22.4169782;08.05.1978;województwo warmińsko-mazurskie;1978;19
Buteo buteo;1;52.9350285;18.7101326;08.06.1979;województwo kujawsko-pomorskie;1979;23
Buteo buteo;200;54.1569281;22.4169782;30.03.1980;województwo warmińsko-mazurskie;1980;13
Buteo buteo;2;53.4063955;14.5401562;10.07.1980;województwo zachodniopomorskie;1980;28
Buteo buteo;1;50.766159;19.472305;04.10.1981;województwo śląskie;1981;40
Buteo buteo;-100;54.13;22.19;10.07.1982;województwo warmińsko-mazurskie;1982;27
Buteo buteo;1;52.682;23.846;20.03.1983;województwo podlaskie;1983;11
Buteo buteo;4;52.7038248;23.8297105;19.03.1983;województwo podlaskie;1983;11
Buteo buteo;1;54.087;22.612;05.03.1983;województwo warmińsko-mazurskie;1983;9
Buteo buteo;6;54.1569281;22.4169782;17.04.1983;województwo warmińsko-mazurskie;1983;15
Buteo buteo;2;54.1569281;22.4169782;02.04.1983;województwo warmińsko-mazurskie;1983;13
Buteo buteo;2;54.1569281;22.4169782;01.05.1983;województwo warmińsko-mazurskie;1983;17
Buteo buteo;3;54.1569281;22.4169782;08.05.1983;województwo warmińsko-mazurskie;1983;18
Buteo buteo;4;54.13;22.19;02.07.1983;województwo warmińsko-mazurskie;1983;26
Buteo buteo;1;53.684;19.612;20.07.1983;województwo warmińsko-mazurskie;1983;29
Buteo buteo;4;54.1569281;22.4169782;10.08.1983;województwo warmińsko-mazurskie;1983;32
Buteo buteo;1;54.342;22.325;11.02.1984;województwo warmińsko-mazurskie;1984;6
Buteo buteo;10;54.1569281;22.4169782;28.03.1984;województwo warmińsko-mazurskie;1984;13
Buteo buteo;1;54.1569281;22.4169782;03.03.1984;województwo warmińsko-mazurskie;1984;9
Buteo buteo;4;54.1569281;22.4169782;27.03.1984;województwo warmińsko-mazurskie;1984;13
Buteo buteo;4;53.512;22.566;08.04.1984;województwo podlaskie;1984;14
Buteo buteo;4;53.6496237;22.746377;08.04.1984;województwo podlaskie;1984;14
Buteo buteo;9;53.5930818;22.8638167;08.04.1984;województwo podlaskie;1984;14
Buteo buteo;10;54.1569281;22.4169782;01.04.1984;województwo warmińsko-mazurskie;1984;13
Buteo buteo;9;54.1649818;22.545472;28.10.1984;województwo podlaskie;1984;43
Buteo buteo;6;53.556;22.588;07.10.1984;województwo podlaskie;1984;40
Buteo buteo;4;52.554;17.112;11.11.1984;województwo wielkopolskie;1984;45
Buteo buteo;1;51.1664905;22.7203148;01.01.1985;województwo lubelskie;1985;1
Buteo buteo;3;54.1569281;22.4169782;25.03.1985;województwo warmińsko-mazurskie;1985;13
Buteo buteo;8;53.397;22.035;07.04.1985;województwo podlaskie;1985;14
Buteo buteo;13;53.397;22.035;06.04.1985;województwo podlaskie;1985;14
Buteo buteo;-100;50.5143342;21.5882129;15.04.1985;województwo podkarpackie;1985;16
Buteo buteo;8;54.065;22.133;09.04.1985;województwo warmińsko-mazurskie;1985;15
Buteo buteo;-100;50.5143342;21.5882129;15.05.1985;województwo podkarpackie;1985;20
