SCIENTIFIC NAME;OBSERVATION COUNT;LATITUDE;LONGITUDE;OBSERVATION DATE;STATE;YEAR;WEEK OF YEAR
Calidris alpina;14;53.8344772;23.0064476;09.07.1970;województwo podlaskie;1970;28
Calidris alpina;30;54.6996303;17.3082733;01.07.1970;województwo pomorskie;1970;27
Calidris alpina;50;53.9247239;14.278627;25.07.1970;województwo zachodniopomorskie;1970;30
Calidris alpina;2;54.117;22.471;07.09.1981;województwo warmińsko-mazurskie;1981;37
Calidris alpina;1;54.3478245;18.8782811;30.03.1985;województwo pomorskie;1985;13
Calidris alpina;1;54.3475772;18.9588833;23.06.1985;województwo pomorskie;1985;25
Calidris alpina;2;54.7034049;18.6518805;20.07.1985;województwo pomorskie;1985;29
Calidris alpina;-100;54.7034049;18.6518805;28.07.1985;województwo pomorskie;1985;30
Calidris alpina;400;54.7034049;18.6518805;25.07.1985;województwo pomorskie;1985;30
Calidris alpina;150;54.3602495;18.9460784;06.10.1985;województwo pomorskie;1985;40
Calidris alpina;42;54.3475772;18.9588833;27.10.1985;województwo pomorskie;1985;43
Calidris alpina;20;54.3602495;18.9460784;20.10.1985;województwo pomorskie;1985;42
Calidris alpina;220;54.3602495;18.9460784;27.10.1985;województwo pomorskie;1985;43
Calidris alpina;105;54.3602495;18.9460784;10.11.1985;województwo pomorskie;1985;45
Calidris alpina;29;50.0047016;19.4818765;17.05.1986;województwo małopolskie;1986;20
Calidris alpina;30;54.7034049;18.6518805;06.08.1986;województwo pomorskie;1986;32
Calidris alpina;-100;54.7034049;18.6518805;16.09.1986;województwo pomorskie;1986;38
Calidris alpina;-100;54.3599323;18.7983155;06.09.1986;województwo pomorskie;1986;36
Calidris alpina;2;53.452;22.568;22.04.1987;województwo podlaskie;1987;17
Calidris alpina;1;50.887225;19.559604;30.05.1987;województwo łódzkie;1987;22
Calidris alpina;2;54.3475772;18.9588833;16.05.1987;województwo pomorskie;1987;20
Calidris alpina;10;54.7034049;18.6518805;29.08.1987;województwo pomorskie;1987;35
Calidris alpina;15;54.7034049;18.6518805;20.08.1987;województwo pomorskie;1987;34
Calidris alpina;2;54.7034049;18.6518805;24.08.1987;województwo pomorskie;1987;35
Calidris alpina;3;54.7034049;18.6518805;26.08.1987;województwo pomorskie;1987;35
Calidris alpina;7;54.7034049;18.6518805;01.09.1987;województwo pomorskie;1987;36
Calidris alpina;1;54.3602495;18.9460784;08.11.1987;województwo pomorskie;1987;45
Calidris alpina;1;54.623452;18.5091124;17.04.1988;województwo pomorskie;1988;15
Calidris alpina;30;54.6431729;18.459464;17.04.1988;województwo pomorskie;1988;15
Calidris alpina;8;54.6431729;18.459464;15.05.1988;województwo pomorskie;1988;19
Calidris alpina;16;54.6431729;18.459464;05.06.1988;województwo pomorskie;1988;22
Calidris alpina;1;54.3602495;18.9460784;22.10.1988;województwo pomorskie;1988;42
Calidris alpina;60;54.6431729;18.459464;15.10.1988;województwo pomorskie;1988;41
Calidris alpina;70;54.3475772;18.9588833;08.10.1988;województwo pomorskie;1988;40
Calidris alpina;20;54.3602495;18.9460784;01.10.1988;województwo pomorskie;1988;39
Calidris alpina;20;54.3475772;18.9588833;02.10.1988;województwo pomorskie;1988;39
Calidris alpina;2;54.3602495;18.9460784;19.11.1988;województwo pomorskie;1988;46
Calidris alpina;47;54.6431729;18.459464;13.11.1988;województwo pomorskie;1988;45
Calidris alpina;3;54.3602495;18.9460784;29.01.1989;województwo pomorskie;1989;4
Calidris alpina;8;54.6431729;18.459464;19.03.1989;województwo pomorskie;1989;11
Calidris alpina;18;54.6431729;18.459464;15.04.1989;województwo pomorskie;1989;15
Calidris alpina;16;52.1150445;20.8652258;23.09.1990;województwo mazowieckie;1990;38
Calidris alpina;10;52.1005214;20.8373737;08.09.1990;województwo mazowieckie;1990;36
Calidris alpina;-100;53.2348604;22.4966613;08.05.1993;województwo podlaskie;1993;18
Calidris alpina;2;54.6095033;18.7949995;30.07.1993;województwo pomorskie;1993;30
Calidris alpina;2;54.6095033;18.7949995;30.07.1993;województwo pomorskie;1993;30
Calidris alpina;2;54.6199029;18.5067024;04.07.1993;województwo pomorskie;1993;26
Calidris alpina;4;54.7110745;17.1911573;01.08.1993;województwo pomorskie;1993;30
Calidris alpina;4;54.7110745;17.1911573;01.08.1993;województwo pomorskie;1993;30
Calidris alpina;2;54.02625;14.7508333;05.08.1993;województwo zachodniopomorskie;1993;31
Calidris alpina;2;54.02625;14.7508333;05.08.1993;województwo zachodniopomorskie;1993;31
Calidris alpina;-100;54.6370433;18.5151908;26.09.1993;województwo pomorskie;1993;38
Calidris alpina;-100;54.6370433;18.5151908;19.09.1993;województwo pomorskie;1993;37
Calidris alpina;2;51.0755834;21.801286;08.09.1994;województwo lubelskie;1994;36
Calidris alpina;2;51.0755834;21.801286;04.09.1994;województwo lubelskie;1994;35
Calidris alpina;3;51.0755834;21.801286;02.09.1994;województwo lubelskie;1994;35
Calidris alpina;2;50.0047016;19.4818765;23.09.1994;województwo małopolskie;1994;38
Calidris alpina;10;51.4357511;22.4281472;03.10.1994;województwo lubelskie;1994;40
Calidris alpina;2;51.0755834;21.801286;17.08.1995;województwo lubelskie;1995;33
Calidris alpina;14;50.6464498;21.0364645;21.10.1995;województwo świętokrzyskie;1995;42
Calidris alpina;4;54.42232;18.58924;04.05.1996;województwo pomorskie;1996;18
Calidris alpina;3;54.42232;18.58924;05.05.1996;województwo pomorskie;1996;18
Calidris alpina;3;54.4077916;18.6308813;04.05.1996;województwo pomorskie;1996;18
Calidris alpina;25;53.88704;14.3604486;21.07.1996;województwo zachodniopomorskie;1996;29
Calidris alpina;20;51.6298129;22.7822765;10.11.1996;województwo lubelskie;1996;45
Calidris alpina;12;53.0156094;23.8990402;25.05.1997;województwo podlaskie;1997;21
Calidris alpina;16;54.3602495;18.9460784;02.08.1997;województwo pomorskie;1997;31
Calidris alpina;47;54.3602495;18.9460784;03.08.1997;województwo pomorskie;1997;31
Calidris alpina;6;54.3602495;18.9460784;01.08.1997;województwo pomorskie;1997;31
Calidris alpina;28;54.3602495;18.9460784;05.08.1997;województwo pomorskie;1997;32
Calidris alpina;90;54.3602495;18.9460784;06.08.1997;województwo pomorskie;1997;32
Calidris alpina;10;54.3602495;18.9460784;07.08.1997;województwo pomorskie;1997;32
Calidris alpina;3;54.3602495;18.9460784;08.08.1997;województwo pomorskie;1997;32
Calidris alpina;16;54.3602495;18.9460784;04.08.1997;województwo pomorskie;1997;32
Calidris alpina;15;54.3602495;18.9460784;09.08.1997;województwo pomorskie;1997;32
Calidris alpina;-100;53.9100327;14.2475775;24.08.1997;województwo zachodniopomorskie;1997;34
Calidris alpina;2;51.1430966;22.8444377;12.10.1997;województwo lubelskie;1997;41
Calidris alpina;6;52.6008772;16.7517042;27.08.1998;województwo wielkopolskie;1998;35
Calidris alpina;2;52.6008772;16.7517042;07.11.1998;województwo wielkopolskie;1998;45
Calidris alpina;10;54.6370433;18.5151908;27.08.1999;województwo pomorskie;1999;34
Calidris alpina;3;54.346568;18.8650256;26.08.1999;województwo pomorskie;1999;34
Calidris alpina;3;54.346568;18.8650256;26.08.1999;województwo pomorskie;1999;34
Calidris alpina;10;54.6370433;18.5151908;27.08.1999;województwo pomorskie;1999;34
Calidris alpina;1;54.4631489;16.4107879;07.09.1999;województwo zachodniopomorskie;1999;36
