SCIENTIFIC NAME;OBSERVATION COUNT;LATITUDE;LONGITUDE;OBSERVATION DATE;STATE;YEAR;WEEK OF YEAR
Calidris pugnax;5;52.1180948;20.5590543;17.07.1970;województwo mazowieckie;1970;29
Calidris pugnax;7;52.5167349;21.1158889;16.07.1970;województwo mazowieckie;1970;29
Calidris pugnax;24;52.9169732;23.5210075;10.07.1970;województwo podlaskie;1970;28
Calidris pugnax;25;52.7061066;23.7997127;14.07.1970;województwo podlaskie;1970;29
Calidris pugnax;5;52.9077305;22.9226303;15.07.1970;województwo podlaskie;1970;29
Calidris pugnax;12;53.801107;21.636318;07.07.1970;województwo warmińsko-mazurskie;1970;28
Calidris pugnax;15;53.9247239;14.278627;25.07.1970;województwo zachodniopomorskie;1970;30
Calidris pugnax;12;54.1569281;22.4169782;27.03.1984;województwo warmińsko-mazurskie;1984;13
Calidris pugnax;30;54.7034049;18.6518805;23.07.1985;województwo pomorskie;1985;30
Calidris pugnax;30;54.7034049;18.6518805;20.07.1985;województwo pomorskie;1985;29
Calidris pugnax;15;54.7034049;18.6518805;25.07.1985;województwo pomorskie;1985;30
Calidris pugnax;20;51.600041;21.6532763;18.08.1985;województwo lubelskie;1985;33
Calidris pugnax;3;50.0047016;19.4818765;26.04.1986;województwo małopolskie;1986;17
Calidris pugnax;43;50.0047016;19.4818765;17.05.1986;województwo małopolskie;1986;20
Calidris pugnax;15;54.7034049;18.6518805;06.08.1986;województwo pomorskie;1986;32
Calidris pugnax;1;54.3599323;18.7983155;31.08.1986;województwo pomorskie;1986;35
Calidris pugnax;2;53.4946073;22.7291787;22.04.1987;województwo podlaskie;1987;17
Calidris pugnax;3;54.7034049;18.6518805;29.08.1987;województwo pomorskie;1987;35
Calidris pugnax;1;54.7034049;18.6518805;27.08.1987;województwo pomorskie;1987;35
Calidris pugnax;1;54.7034049;18.6518805;26.08.1987;województwo pomorskie;1987;35
Calidris pugnax;1;50.742865;21.841026;12.09.1987;województwo świętokrzyskie;1987;37
Calidris pugnax;28;54.6431729;18.459464;15.05.1988;województwo pomorskie;1988;19
Calidris pugnax;-100;53.5287818;22.8429204;18.05.1989;województwo podlaskie;1989;20
Calidris pugnax;10;52.1150445;20.8652258;23.09.1990;województwo mazowieckie;1990;38
Calidris pugnax;10;52.1005214;20.8373737;08.09.1990;województwo mazowieckie;1990;36
Calidris pugnax;3;52.711888;23.818649;26.05.1991;województwo podlaskie;1991;21
Calidris pugnax;-100;53.5880216;22.7804947;20.07.1991;województwo podlaskie;1991;29
Calidris pugnax;1;52.684685;23.7867898;29.05.1992;województwo podlaskie;1992;22
Calidris pugnax;50;53.558253;22.6322906;28.05.1993;województwo podlaskie;1993;21
Calidris pugnax;1;51.1430966;22.8444377;10.10.1993;województwo lubelskie;1993;40
Calidris pugnax;5;51.6298129;22.7822765;03.05.1994;województwo lubelskie;1994;18
Calidris pugnax;1;53.5880216;22.7804947;31.05.1994;województwo podlaskie;1994;22
Calidris pugnax;1;53.5880216;22.7804947;31.05.1994;województwo podlaskie;1994;22
Calidris pugnax;6;52.932987;23.853671;18.07.1994;województwo podlaskie;1994;29
Calidris pugnax;1;53.3163646;22.4655175;28.07.1994;województwo podlaskie;1994;30
Calidris pugnax;3;51.0755834;21.801286;29.08.1994;województwo lubelskie;1994;35
Calidris pugnax;20;51.0755834;21.801286;06.09.1994;województwo lubelskie;1994;36
Calidris pugnax;4;51.4357511;22.4281472;03.10.1994;województwo lubelskie;1994;40
Calidris pugnax;1;50.0047016;19.4818765;22.10.1994;województwo małopolskie;1994;42
Calidris pugnax;11;50.3467501;20.7334912;22.10.1994;województwo świętokrzyskie;1994;42
Calidris pugnax;-100;50.0159704;19.4024121;23.04.1995;województwo małopolskie;1995;16
Calidris pugnax;1;53.1094601;23.2282734;16.05.1995;województwo podlaskie;1995;20
Calidris pugnax;1;52.4002718;20.6403923;15.06.1995;województwo mazowieckie;1995;24
Calidris pugnax;1;52.721322;23.8623047;18.06.1995;województwo podlaskie;1995;24
Calidris pugnax;4;51.0755834;21.801286;17.08.1995;województwo lubelskie;1995;33
Calidris pugnax;3;51.0755834;21.801286;21.08.1995;województwo lubelskie;1995;34
Calidris pugnax;6;51.0755834;21.801286;19.08.1995;województwo lubelskie;1995;33
Calidris pugnax;40;53.88704;14.3604486;21.07.1996;województwo zachodniopomorskie;1996;29
Calidris pugnax;1;51.0755834;21.801286;21.08.1996;województwo lubelskie;1996;34
Calidris pugnax;20;49.9766543;19.4193146;20.08.1996;województwo małopolskie;1996;34
Calidris pugnax;1;51.1378058;23.152129;04.05.1997;województwo lubelskie;1997;18
Calidris pugnax;1;51.1378058;23.152129;04.05.1997;województwo lubelskie;1997;18
Calidris pugnax;70;53.0156094;23.8990402;25.05.1997;województwo podlaskie;1997;21
