SCIENTIFIC NAME;OBSERVATION COUNT;LATITUDE;LONGITUDE;OBSERVATION DATE;STATE;YEAR;WEEK OF YEAR
Ciconia ciconia;2;53.7169868;14.7732914;03.08.1969;województwo zachodniopomorskie;1969;31
Ciconia ciconia;1;53.0506557;17.4171495;05.06.1970;województwo kujawsko-pomorskie;1970;23
Ciconia ciconia;15;54.7628229;17.5460243;30.06.1970;województwo pomorskie;1970;27
Ciconia ciconia;2;54.5223914;16.7845577;29.06.1970;województwo pomorskie;1970;27
Ciconia ciconia;9;53.8959095;14.492286;28.06.1970;województwo zachodniopomorskie;1970;26
Ciconia ciconia;1;52.8117684;15.0569762;23.07.1970;województwo lubuskie;1970;30
Ciconia ciconia;3;51.6422125;19.3874789;19.07.1970;województwo łódzkie;1970;29
Ciconia ciconia;4;52.8444015;21.9672041;16.07.1970;województwo mazowieckie;1970;29
Ciconia ciconia;3;52.9766963;22.1961224;16.07.1970;województwo podlaskie;1970;29
Ciconia ciconia;2;52.9077305;22.9226303;15.07.1970;województwo podlaskie;1970;29
Ciconia ciconia;8;53.5930818;22.8638167;10.07.1970;województwo podlaskie;1970;28
Ciconia ciconia;15;52.7061066;23.7997127;12.07.1970;województwo podlaskie;1970;28
Ciconia ciconia;2;52.7061066;23.7997127;13.07.1970;województwo podlaskie;1970;29
Ciconia ciconia;5;52.7834967;23.0916309;15.07.1970;województwo podlaskie;1970;29
Ciconia ciconia;5;52.6910951;23.719697;15.07.1970;województwo podlaskie;1970;29
Ciconia ciconia;6;52.7061066;23.7997127;14.07.1970;województwo podlaskie;1970;29
Ciconia ciconia;10;52.9169732;23.5210075;10.07.1970;województwo podlaskie;1970;28
Ciconia ciconia;8;52.7008038;23.8633215;11.07.1970;województwo podlaskie;1970;28
Ciconia ciconia;9;54.2602897;18.941627;02.07.1970;województwo pomorskie;1970;27
Ciconia ciconia;7;54.0738744;19.4730646;04.07.1970;województwo warmińsko-mazurskie;1970;27
Ciconia ciconia;4;54.0738744;19.4730646;03.07.1970;województwo warmińsko-mazurskie;1970;27
Ciconia ciconia;8;53.801107;21.636318;07.07.1970;województwo warmińsko-mazurskie;1970;28
Ciconia ciconia;10;53.801107;21.636318;06.07.1970;województwo warmińsko-mazurskie;1970;28
Ciconia ciconia;10;53.801107;21.636318;05.07.1970;województwo warmińsko-mazurskie;1970;27
Ciconia ciconia;19;53.8173361;22.2705525;08.07.1970;województwo warmińsko-mazurskie;1970;28
Ciconia ciconia;9;53.8282248;20.8098756;05.07.1970;województwo warmińsko-mazurskie;1970;27
Ciconia ciconia;8;53.8959095;14.492286;24.07.1970;województwo zachodniopomorskie;1970;30
Ciconia ciconia;1;52.2535879;21.0271418;06.07.1974;województwo mazowieckie;1974;27
Ciconia ciconia;1;50.766539;19.171726;04.05.1976;województwo śląskie;1976;19
Ciconia ciconia;1;54.1569281;22.4169782;18.03.1977;województwo warmińsko-mazurskie;1977;11
Ciconia ciconia;5;52.9350285;18.7101326;08.06.1979;województwo kujawsko-pomorskie;1979;23
Ciconia ciconia;4;53.6992718;14.54619;29.06.1979;województwo zachodniopomorskie;1979;26
Ciconia ciconia;2;54.1569281;22.4169782;23.03.1980;województwo warmińsko-mazurskie;1980;12
Ciconia ciconia;6;53.4063955;14.5401562;10.07.1980;województwo zachodniopomorskie;1980;28
Ciconia ciconia;-100;53.1213325;17.6373911;24.04.1981;województwo kujawsko-pomorskie;1981;17
Ciconia ciconia;-100;53.1213325;17.6373911;05.05.1981;województwo kujawsko-pomorskie;1981;19
Ciconia ciconia;11;52.0590997;16.8236429;09.06.1981;województwo wielkopolskie;1981;24
Ciconia ciconia;2;54.1569281;22.4169782;04.04.1982;województwo warmińsko-mazurskie;1982;13
