SCIENTIFIC NAME;OBSERVATION COUNT;LATITUDE;LONGITUDE;OBSERVATION DATE;YEAR;WEEK OF YEAR;COUNTY;STATE
Circus aeruginosus;1;53.2527877;14.4415283;09.06.2017;2017;23;powiat gryfiński;województwo zachodniopomorskie
Circus aeruginosus;-100;51.5134432;16.9934893;11.07.1994;1994;28;powiat trzebnicki;województwo dolnośląskie
Circus aeruginosus;-100;51.5134432;16.9934893;10.07.1994;1994;27;powiat trzebnicki;województwo dolnośląskie
Circus aeruginosus;-100;51.5134432;16.9934893;06.08.1994;1994;31;powiat trzebnicki;województwo dolnośląskie
Circus aeruginosus;1;51.2623982;15.5669832;27.07.1996;1996;30;powiat bolesławiecki;województwo dolnośląskie
Circus aeruginosus;1;51.2623982;15.5669832;27.07.1996;1996;30;powiat bolesławiecki;województwo dolnośląskie
Circus aeruginosus;1;51.4897465;17.0371682;04.05.1999;1999;18;powiat trzebnicki;województwo dolnośląskie
Circus aeruginosus;-100;51.5623238;15.7832692;17.07.1999;1999;28;powiat polkowicki;województwo dolnośląskie
Circus aeruginosus;-100;51.5623238;15.7832692;18.07.1999;1999;28;powiat polkowicki;województwo dolnośląskie
Circus aeruginosus;6;51.5383279;17.345438;04.08.2000;2000;31;powiat milicki;województwo dolnośląskie
Circus aeruginosus;1;51.1382169;16.9537067;12.05.2002;2002;19;Wrocław;województwo dolnośląskie
Circus aeruginosus;-100;51.5623238;15.7832692;01.06.2002;2002;22;powiat polkowicki;województwo dolnośląskie
Circus aeruginosus;2;51.5623238;15.7832692;08.07.2002;2002;28;powiat polkowicki;województwo dolnośląskie
Circus aeruginosus;6;51.5623238;15.7832692;21.08.2002;2002;34;powiat polkowicki;województwo dolnośląskie
Circus aeruginosus;5;51.5623238;15.7832692;11.09.2002;2002;37;powiat polkowicki;województwo dolnośląskie
Circus aeruginosus;5;51.5623238;15.7832692;08.09.2002;2002;36;powiat polkowicki;województwo dolnośląskie
Circus aeruginosus;2;51.5623238;15.7832692;12.10.2002;2002;41;powiat polkowicki;województwo dolnośląskie
Circus aeruginosus;8;51.5623238;15.7832692;16.04.2003;2003;16;powiat polkowicki;województwo dolnośląskie
Circus aeruginosus;1;51.4784152;16.9834382;01.05.2003;2003;18;powiat trzebnicki;województwo dolnośląskie
Circus aeruginosus;1;51.4726233;16.9654029;03.06.2003;2003;23;powiat trzebnicki;województwo dolnośląskie
Circus aeruginosus;7;51.5623238;15.7832692;14.09.2003;2003;37;powiat polkowicki;województwo dolnośląskie
Circus aeruginosus;8;51.5623238;15.7832692;09.04.2004;2004;15;powiat polkowicki;województwo dolnośląskie
Circus aeruginosus;2;51.5623238;15.7832692;17.04.2004;2004;16;powiat polkowicki;województwo dolnośląskie
Circus aeruginosus;1;51.5623238;15.7832692;31.10.2004;2004;44;powiat polkowicki;województwo dolnośląskie
Circus aeruginosus;3;51.5623238;15.7832692;23.03.2005;2005;12;powiat polkowicki;województwo dolnośląskie
Circus aeruginosus;1;50.9560479;16.6175079;28.08.2005;2005;34;powiat wrocławski;województwo dolnośląskie
Circus aeruginosus;2;51.4802577;16.9524564;10.08.2005;2005;32;powiat trzebnicki;województwo dolnośląskie
Circus aeruginosus;2;51.1382169;16.9537067;09.05.2006;2006;19;Wrocław;województwo dolnośląskie
Circus aeruginosus;4;51.1382169;16.9537067;08.05.2007;2007;19;Wrocław;województwo dolnośląskie
Circus aeruginosus;1;51.2367366;16.6504159;26.04.2008;2008;17;powiat średzki;województwo dolnośląskie
Circus aeruginosus;1;51.2555711;16.7773708;26.04.2008;2008;17;powiat średzki;województwo dolnośląskie
Circus aeruginosus;4;51.5317609;17.3404598;16.05.2008;2008;20;powiat milicki;województwo dolnośląskie
Circus aeruginosus;1;51.5317609;17.3404598;18.05.2008;2008;20;powiat milicki;województwo dolnośląskie
Circus aeruginosus;2;51.5317609;17.3404598;17.05.2008;2008;20;powiat milicki;województwo dolnośląskie
Circus aeruginosus;1;51.5317609;17.3404598;18.05.2008;2008;20;powiat milicki;województwo dolnośląskie
Circus aeruginosus;4;51.5317609;17.3404598;16.05.2008;2008;20;powiat milicki;województwo dolnośląskie
Circus aeruginosus;1;51.5623238;15.7832692;04.05.2008;2008;18;powiat polkowicki;województwo dolnośląskie
Circus aeruginosus;2;51.5317609;17.3404598;17.05.2008;2008;20;powiat milicki;województwo dolnośląskie
Circus aeruginosus;1;51.5623238;15.7832692;04.05.2008;2008;18;powiat polkowicki;województwo dolnośląskie
Circus aeruginosus;2;51.5134432;16.9934893;21.08.2008;2008;34;powiat trzebnicki;województwo dolnośląskie
Circus aeruginosus;3;51.5623238;15.7832692;17.04.2009;2009;16;powiat polkowicki;województwo dolnośląskie
Circus aeruginosus;1;51.5373107;17.1104104;01.05.2009;2009;18;powiat milicki;województwo dolnośląskie
Circus aeruginosus;3;51.5623238;15.7832692;30.08.2009;2009;35;powiat polkowicki;województwo dolnośląskie
Circus aeruginosus;3;51.5623238;15.7832692;03.09.2009;2009;36;powiat polkowicki;województwo dolnośląskie
Circus aeruginosus;1;51.4894621;17.0380005;02.04.2011;2011;13;powiat trzebnicki;województwo dolnośląskie
Circus aeruginosus;1;51.5373107;17.1104104;21.05.2011;2011;20;powiat milicki;województwo dolnośląskie
Circus aeruginosus;1;51.5373107;17.1104104;29.05.2011;2011;21;powiat milicki;województwo dolnośląskie
Circus aeruginosus;1;51.5670002;15.8523689;24.03.2012;2012;12;powiat polkowicki;województwo dolnośląskie
Circus aeruginosus;1;51.1923922;15.9122799;20.04.2012;2012;16;powiat złotoryjski;województwo dolnośląskie
Circus aeruginosus;3;51.1923922;15.9122799;15.07.2012;2012;28;powiat złotoryjski;województwo dolnośląskie
Circus aeruginosus;5;51.1923922;15.9122799;10.08.2012;2012;32;powiat złotoryjski;województwo dolnośląskie
Circus aeruginosus;1;51.3249186;15.9180415;10.08.2012;2012;32;powiat legnicki;województwo dolnośląskie
Circus aeruginosus;2;51.1923922;15.9122799;03.09.2012;2012;36;powiat złotoryjski;województwo dolnośląskie
Circus aeruginosus;2;51.3249186;15.9180415;07.09.2012;2012;36;powiat legnicki;województwo dolnośląskie
Circus aeruginosus;2;51.1923922;15.9122799;13.09.2012;2012;37;powiat złotoryjski;województwo dolnośląskie
Circus aeruginosus;2;51.1923922;15.9122799;07.09.2012;2012;36;powiat złotoryjski;województwo dolnośląskie
Circus aeruginosus;1;51.4666459;16.9022424;02.04.2013;2013;14;powiat trzebnicki;województwo dolnośląskie
Circus aeruginosus;-100;51.5383279;17.345438;21.06.2013;2013;25;powiat milicki;województwo dolnośląskie
Circus aeruginosus;-100;51.5383279;17.345438;21.06.2013;2013;25;powiat milicki;województwo dolnośląskie
Circus aeruginosus;-100;51.5383279;17.345438;21.06.2013;2013;25;powiat milicki;województwo dolnośląskie
Circus aeruginosus;4;51.5045755;17.4275351;25.07.2013;2013;30;powiat milicki;województwo dolnośląskie
Circus aeruginosus;6;51.1923922;15.9122799;21.07.2013;2013;29;powiat złotoryjski;województwo dolnośląskie
Circus aeruginosus;3;51.1923922;15.9122799;26.07.2013;2013;30;powiat złotoryjski;województwo dolnośląskie
Circus aeruginosus;1;51.5045755;17.4275351;06.07.2013;2013;27;powiat milicki;województwo dolnośląskie
Circus aeruginosus;2;51.4802577;16.9524564;14.08.2013;2013;33;powiat trzebnicki;województwo dolnośląskie
Circus aeruginosus;3;51.4802577;16.9524564;02.08.2013;2013;31;powiat trzebnicki;województwo dolnośląskie
Circus aeruginosus;9;51.1923922;15.9122799;17.08.2013;2013;33;powiat złotoryjski;województwo dolnośląskie
Circus aeruginosus;1;51.4802577;16.9524564;05.08.2013;2013;32;powiat trzebnicki;województwo dolnośląskie
Circus aeruginosus;5;51.1923922;15.9122799;29.08.2013;2013;35;powiat złotoryjski;województwo dolnośląskie
Circus aeruginosus;7;51.1923922;15.9122799;07.09.2013;2013;36;powiat złotoryjski;województwo dolnośląskie
Circus aeruginosus;1;51.2057251;15.0204402;06.07.2014;2014;27;powiat zgorzelecki;województwo dolnośląskie
Circus aeruginosus;1;51.539614;17.3616385;08.07.2014;2014;28;powiat milicki;województwo dolnośląskie
