SCIENTIFIC NAME;OBSERVATION COUNT;LATITUDE;LONGITUDE;OBSERVATION DATE;STATE;YEAR;WEEK OF YEAR
Clanga clanga;2;53.5558102;18.4573746;15.07.1978;województwo kujawsko-pomorskie;1978;28
Clanga clanga;1;52.7012932;23.8504401;08.09.1988;województwo podlaskie;1988;36
Clanga clanga;2;54.169;22.569;14.09.1988;województwo podlaskie;1988;37
Clanga clanga;1;53.5573267;22.9076533;21.08.2008;województwo podlaskie;2008;34
Clanga clanga;1;51.4128459;23.2862604;29.07.2010;województwo lubelskie;2010;30
Clanga clanga;1;52.1208788;19.4433823;05.08.2010;województwo łódzkie;2010;31
Clanga clanga;1;52.1255414;19.4405053;13.08.2010;województwo łódzkie;2010;32
Clanga clanga;1;50.1421872;18.2775915;04.10.2010;województwo śląskie;2010;40
Clanga clanga;1;53.328398;22.4599105;10.09.2011;województwo podlaskie;2011;36
Clanga clanga;1;51.409584;23.290409;24.08.2016;województwo lubelskie;2016;34
Clanga clanga;1;51.409584;23.290409;23.08.2016;województwo lubelskie;2016;34
Clanga clanga;1;53.5880216;22.7804947;29.08.2016;województwo podlaskie;2016;35
Clanga clanga;1;52.903009;23.875608;29.08.2017;województwo podlaskie;2017;35
Clanga clanga;1;52.903009;23.875608;31.08.2017;województwo podlaskie;2017;35
Clanga clanga;2;52.9246352;23.8150978;21.08.2017;województwo podlaskie;2017;34
Clanga clanga;1;52.903009;23.875608;30.08.2017;województwo podlaskie;2017;35
Clanga clanga;1;53.5880216;22.7804947;13.09.2017;województwo podlaskie;2017;37
Clanga clanga;1;53.5416407;22.8768728;23.09.2017;województwo podlaskie;2017;38
Clanga clanga;1;50.6522081;17.9235043;30.03.2018;województwo opolskie;2018;13
Clanga clanga;1;50.454071;23.817433;31.08.2018;województwo lubelskie;2018;35
Clanga clanga;4;52.9002729;23.8836497;30.08.2018;województwo podlaskie;2018;35
Clanga clanga;1;52.9246352;23.8150978;30.09.2018;województwo podlaskie;2018;39
Clanga clanga;2;53.5416407;22.8768728;22.09.2018;województwo podlaskie;2018;38
Clanga clanga;1;53.5148092;22.8098653;26.08.2019;województwo podlaskie;2019;35
Clanga clanga;2;53.5148092;22.8098653;24.08.2019;województwo podlaskie;2019;34
Clanga clanga;1;52.9246352;23.8150978;16.09.2019;województwo podlaskie;2019;38
Clanga clanga;1;53.5148092;22.8098653;07.09.2019;województwo podlaskie;2019;36
Clanga clanga;1;52.9246352;23.8150978;22.09.2019;województwo podlaskie;2019;38
Clanga clanga;1;53.3706905;22.5586028;18.09.2019;województwo podlaskie;2019;38
Clanga clanga;2;52.9401557;23.7570763;14.09.2019;województwo podlaskie;2019;37
Clanga clanga;1;50.4559136;23.8196815;20.08.2020;województwo lubelskie;2020;34
Clanga clanga;1;51.2209906;22.7983483;30.08.2020;województwo lubelskie;2020;35
Clanga clanga;1;52.9246352;23.8150978;12.09.2020;województwo podlaskie;2020;37
Clanga clanga;1;51.972354;21.263082;14.10.2020;województwo mazowieckie;2020;42
Clanga clanga;1;51.972354;21.263082;13.10.2020;województwo mazowieckie;2020;42
Clanga clanga;1;51.972354;21.263082;14.10.2020;województwo mazowieckie;2020;42
Clanga clanga;1;51.972354;21.263082;14.10.2020;województwo mazowieckie;2020;42
Clanga clanga;1;51.972354;21.263082;14.10.2020;województwo mazowieckie;2020;42
Clanga clanga;1;51.972354;21.263082;14.10.2020;województwo mazowieckie;2020;42
Clanga clanga;1;52.932987;23.853671;04.10.2020;województwo podlaskie;2020;40
Clanga clanga;1;52.9077305;22.9226303;12.10.2020;województwo podlaskie;2020;42
Clanga clanga;1;50.72268;22.935133;23.08.2021;województwo lubelskie;2021;34
Clanga clanga;1;52.8973678;23.8863164;27.08.2021;województwo podlaskie;2021;34
Clanga clanga;1;53.4852621;22.7633588;11.09.2021;województwo podlaskie;2021;36
Clanga clanga;3;52.9246352;23.8150978;12.09.2021;województwo podlaskie;2021;36
Clanga clanga;1;53.5972734;23.0105551;21.09.2021;województwo podlaskie;2021;38
Clanga clanga;1;52.9002729;23.8836497;13.09.2021;województwo podlaskie;2021;37
Clanga clanga;1;53.2819891;23.0419732;09.09.2021;województwo podlaskie;2021;36
Clanga clanga;1;52.9246352;23.8150978;14.09.2021;województwo podlaskie;2021;37
Clanga clanga;2;52.9246352;23.8150978;13.09.2021;województwo podlaskie;2021;37
Clanga clanga;2;52.9246352;23.8150978;15.09.2021;województwo podlaskie;2021;37
Clanga clanga;1;53.5573267;22.9076533;11.09.2021;województwo podlaskie;2021;36
Clanga clanga;3;52.9002729;23.8836497;12.09.2021;województwo podlaskie;2021;36
Clanga clanga;1;53.4288283;22.533745;15.09.2021;województwo podlaskie;2021;37
Clanga clanga;3;52.9246352;23.8150978;12.09.2021;województwo podlaskie;2021;36
Clanga clanga;2;53.5930818;22.8638167;16.09.2021;województwo podlaskie;2021;37
Clanga clanga;3;52.9246352;23.8150978;12.09.2021;województwo podlaskie;2021;36
Clanga clanga;1;53.5972734;23.0105551;21.09.2021;województwo podlaskie;2021;38
Clanga clanga;1;53.5149283;22.8163045;25.08.2022;województwo podlaskie;2022;34
Clanga clanga;1;53.2187743;22.5791049;24.08.2022;województwo podlaskie;2022;34
Clanga clanga;1;52.9002729;23.8836497;10.09.2022;województwo podlaskie;2022;36
Clanga clanga;1;52.9033835;23.8652886;14.09.2022;województwo podlaskie;2022;37
Clanga clanga;1;53.2237451;22.5915068;17.09.2022;województwo podlaskie;2022;37
Clanga clanga;2;53.603179;22.812008;03.09.2022;województwo podlaskie;2022;35
Clanga clanga;1;52.0971716;19.7051273;01.10.2022;województwo łódzkie;2022;39
Clanga clanga;1;52.0971716;19.7051273;01.10.2022;województwo łódzkie;2022;39
