SCIENTIFIC NAME;OBSERVATION COUNT;LATITUDE;LONGITUDE;OBSERVATION DATE;STATE;YEAR;WEEK OF YEAR
Grus grus;1;53.0506557;17.4171495;05.06.1970;województwo kujawsko-pomorskie;1970;23
Grus grus;2;53.8344772;23.0064476;09.07.1970;województwo podlaskie;1970;28
Grus grus;3;52.7061066;23.7997127;14.07.1970;województwo podlaskie;1970;29
Grus grus;1;53.801107;21.636318;06.07.1970;województwo warmińsko-mazurskie;1970;28
Grus grus;1;53.3328207;19.4345999;08.07.1975;województwo kujawsko-pomorskie;1975;28
Grus grus;-100;54.1569281;22.4169782;30.03.1980;województwo warmińsko-mazurskie;1980;13
Grus grus;30;54.1569281;22.4169782;28.10.1980;województwo warmińsko-mazurskie;1980;44
Grus grus;-100;53.1213325;17.6373911;05.05.1981;województwo kujawsko-pomorskie;1981;19
Grus grus;75;54.1569281;22.4169782;18.10.1981;województwo warmińsko-mazurskie;1981;42
Grus grus;-100;54.1569281;22.4169782;04.04.1982;województwo warmińsko-mazurskie;1982;13
Grus grus;2;54.1569281;22.4169782;14.05.1983;województwo warmińsko-mazurskie;1983;19
Grus grus;2;54.1569281;22.4169782;01.05.1983;województwo warmińsko-mazurskie;1983;17
Grus grus;4;53.72;19.353;16.07.1983;województwo warmińsko-mazurskie;1983;28
Grus grus;5;51.1691401;22.7320908;05.04.1984;województwo lubelskie;1984;14
Grus grus;1;53.397;22.035;22.04.1984;województwo podlaskie;1984;16
Grus grus;3;54.13;22.19;03.06.1984;województwo warmińsko-mazurskie;1984;22
Grus grus;1;52.353377;15.197113;21.03.1985;województwo lubuskie;1985;12
Grus grus;36;53.397;22.035;06.04.1985;województwo podlaskie;1985;14
Grus grus;2;54.065;22.133;09.04.1985;województwo warmińsko-mazurskie;1985;15
Grus grus;1;54.717;18.63;13.04.1986;województwo pomorskie;1986;15
Grus grus;6;53.627;18.4;10.05.1986;województwo kujawsko-pomorskie;1986;19
Grus grus;3;54.13;22.19;20.07.1986;województwo warmińsko-mazurskie;1986;29
Grus grus;2;54.13;22.19;14.07.1986;województwo warmińsko-mazurskie;1986;29
Grus grus;2;54.123;22.1;17.07.1986;województwo warmińsko-mazurskie;1986;29
Grus grus;47;54.1569281;22.4169782;02.10.1986;województwo warmińsko-mazurskie;1986;40
Grus grus;13;54.442;18.576;29.03.1987;województwo pomorskie;1987;13
Grus grus;3;54.792;18.425;21.03.1987;województwo pomorskie;1987;12
Grus grus;69;54.408;18.525;27.03.1987;województwo pomorskie;1987;13
Grus grus;51;51.1691401;22.7320908;27.04.1987;województwo lubelskie;1987;18
Grus grus;2;53.4946073;22.7291787;22.04.1987;województwo podlaskie;1987;17
Grus grus;1;53.53838;18.254016;02.05.1987;województwo kujawsko-pomorskie;1987;18
Grus grus;2;53.5601588;18.2210141;02.05.1987;województwo kujawsko-pomorskie;1987;18
Grus grus;5;53.637;18.481;01.05.1987;województwo kujawsko-pomorskie;1987;18
Grus grus;5;53.6695579;18.5506087;01.05.1987;województwo pomorskie;1987;18
Grus grus;1;54.3475772;18.9588833;16.05.1987;województwo pomorskie;1987;20
Grus grus;2;54.331;22.442;08.06.1987;województwo warmińsko-mazurskie;1987;24
Grus grus;156;49.3069936;19.9304008;23.10.1987;województwo małopolskie;1987;43
Grus grus;5;53.801;23.327;05.04.1988;województwo podlaskie;1988;14
Grus grus;17;54.6431729;18.459464;17.04.1988;województwo pomorskie;1988;15
Grus grus;4;54.0738744;19.4730646;22.04.1988;województwo warmińsko-mazurskie;1988;16
Grus grus;4;54.0738744;19.4730646;29.04.1988;województwo warmińsko-mazurskie;1988;17
Grus grus;3;54.6431729;18.459464;15.05.1988;województwo pomorskie;1988;19
Grus grus;2;54.169;22.569;14.09.1988;województwo podlaskie;1988;37
Grus grus;1;53.933;22.628;15.09.1988;województwo warmińsko-mazurskie;1988;37
Grus grus;2;54.1569281;22.4169782;23.03.1989;województwo warmińsko-mazurskie;1989;12
Grus grus;10;54.129;22.158;27.03.1989;województwo warmińsko-mazurskie;1989;13
Grus grus;3;54.6431729;18.459464;15.04.1989;województwo pomorskie;1989;15
