SCIENTIFIC NAME;OBSERVATION COUNT;LATITUDE;LONGITUDE;OBSERVATION DATE;STATE;YEAR;WEEK OF YEAR
Merops apiaster;1;50.0159704;19.4024121;04.08.1968;województwo małopolskie;1968;31
Merops apiaster;1;52.9766963;22.1961224;16.07.1970;województwo podlaskie;1970;29
Merops apiaster;1;49.803026;22.794886;18.07.1987;województwo podkarpackie;1987;29
Merops apiaster;2;50.8978363;24.0315628;24.05.1997;województwo lubelskie;1997;21
Merops apiaster;2;53.1384137;22.3238969;03.06.1998;województwo podlaskie;1998;23
Merops apiaster;2;50.7950434;23.9551474;01.08.1998;województwo lubelskie;1998;31
Merops apiaster;10;49.8013176;22.7958078;26.07.2000;województwo podkarpackie;2000;30
Merops apiaster;-100;49.781;22.745;27.05.2001;województwo podkarpackie;2001;21
Merops apiaster;7;49.7802665;22.7495956;13.05.2001;województwo podkarpackie;2001;19
Merops apiaster;5;49.7963918;22.7423;12.05.2002;województwo podkarpackie;2002;19
Merops apiaster;12;49.7963918;22.7423;11.05.2003;województwo podkarpackie;2003;19
Merops apiaster;12;49.7963918;22.7423;11.05.2003;województwo podkarpackie;2003;19
Merops apiaster;1;52.6934834;23.8884659;13.05.2004;województwo podlaskie;2004;20
Merops apiaster;5;49.7963918;22.7423;07.05.2004;województwo podkarpackie;2004;19
Merops apiaster;6;51.5910943;17.6147344;07.06.2004;województwo wielkopolskie;2004;24
Merops apiaster;2;51.0389424;16.5921927;28.05.2006;województwo dolnośląskie;2006;21
Merops apiaster;-100;51.5908621;22.8700717;02.07.2006;województwo lubelskie;2006;26
Merops apiaster;4;49.9599325;19.426586;13.05.2007;województwo małopolskie;2007;19
Merops apiaster;14;53.2083201;22.7667618;15.05.2007;województwo podlaskie;2007;20
Merops apiaster;2;52.5055477;15.2474509;19.06.2007;województwo lubuskie;2007;25
Merops apiaster;4;52.5055477;15.2474509;08.07.2007;województwo lubuskie;2007;27
Merops apiaster;5;53.1920635;22.7583665;09.07.2008;województwo podlaskie;2008;28
Merops apiaster;2;53.3875655;22.5732565;21.05.2009;województwo podlaskie;2009;21
Merops apiaster;-100;53.2041246;22.7754308;06.06.2009;województwo podlaskie;2009;23
Merops apiaster;3;51.59243;17.6147833;26.06.2010;województwo wielkopolskie;2010;25
Merops apiaster;5;53.8786845;14.4257712;02.06.2010;województwo zachodniopomorskie;2010;22
Merops apiaster;1;50.6522081;17.9235043;25.07.2010;województwo opolskie;2010;29
Merops apiaster;2;51.5849733;17.1793864;29.05.2011;województwo wielkopolskie;2011;21
Merops apiaster;-100;52.7707855;23.8556099;09.06.2011;województwo podlaskie;2011;23
Merops apiaster;-100;53.1920635;22.7583665;08.06.2011;województwo podlaskie;2011;23
Merops apiaster;2;52.7707855;23.8556099;06.06.2011;województwo podlaskie;2011;23
Merops apiaster;-100;53.1920635;22.7583665;08.06.2011;województwo podlaskie;2011;23
Merops apiaster;2;52.7707855;23.8556099;06.06.2011;województwo podlaskie;2011;23
Merops apiaster;-100;53.1920635;22.7583665;08.06.2011;województwo podlaskie;2011;23
Merops apiaster;2;53.1920635;22.7583665;16.06.2012;województwo podlaskie;2012;24
Merops apiaster;-100;49.8538691;22.9524635;01.06.2012;województwo podkarpackie;2012;22
Merops apiaster;4;53.3875655;22.5732565;24.05.2013;województwo podlaskie;2013;21
Merops apiaster;2;50.525632;19.492047;29.05.2013;województwo śląskie;2013;22
Merops apiaster;6;53.19079;22.75542;02.06.2013;województwo podlaskie;2013;22
Merops apiaster;2;50.4294172;18.9737152;02.06.2013;województwo śląskie;2013;22
Merops apiaster;2;50.525632;19.492047;02.06.2013;województwo śląskie;2013;22
Merops apiaster;1;52.9246352;23.8150978;31.07.2013;województwo podlaskie;2013;31
Merops apiaster;1;53.2195377;22.4283797;13.07.2013;województwo podlaskie;2013;28
Merops apiaster;1;50.4294172;18.9737152;15.07.2013;województwo śląskie;2013;29
Merops apiaster;8;51.5860165;17.6305568;28.07.2013;województwo wielkopolskie;2013;30
Merops apiaster;2;49.4569204;19.6422099;10.05.2014;województwo małopolskie;2014;19
Merops apiaster;4;50.1546324;20.5790034;25.05.2014;województwo małopolskie;2014;21
Merops apiaster;11;53.268639;16.50331;24.05.2014;województwo zachodniopomorskie;2014;21
Merops apiaster;3;50.1546324;20.5790034;07.06.2014;województwo małopolskie;2014;23
Merops apiaster;1;52.8095951;22.6497676;20.06.2014;województwo podlaskie;2014;25
Merops apiaster;3;50.4294172;18.9737152;17.06.2014;województwo śląskie;2014;25
Merops apiaster;2;50.4294172;18.9737152;07.08.2014;województwo śląskie;2014;32
Merops apiaster;1;51.5860165;17.6305568;30.07.2015;województwo wielkopolskie;2015;31
Merops apiaster;1;51.5860165;17.6305568;02.07.2015;województwo wielkopolskie;2015;27
Merops apiaster;10;50.1494737;20.5666861;28.05.2016;województwo małopolskie;2016;21
Merops apiaster;14;50.1487612;20.5878192;19.05.2016;województwo małopolskie;2016;20
Merops apiaster;2;53.1913369;22.754209;24.05.2016;województwo podlaskie;2016;21
Merops apiaster;4;52.7124573;23.8539577;30.05.2016;województwo podlaskie;2016;22
Merops apiaster;4;52.7124573;23.8539577;30.05.2016;województwo podlaskie;2016;22
Merops apiaster;2;53.1913369;22.754209;24.05.2016;województwo podlaskie;2016;21
Merops apiaster;2;53.4946073;22.7291787;23.05.2016;województwo podlaskie;2016;21
Merops apiaster;-100;53.3573487;22.598877;12.05.2016;województwo podlaskie;2016;19
Merops apiaster;3;53.1920635;22.7583665;29.05.2016;województwo podlaskie;2016;21
Merops apiaster;2;50.3368666;20.6316391;22.05.2016;województwo świętokrzyskie;2016;20
Merops apiaster;6;50.1262543;17.8367366;07.06.2016;województwo opolskie;2016;23
Merops apiaster;4;50.1262543;17.8367366;18.06.2016;województwo opolskie;2016;24
Merops apiaster;-100;53.1920635;22.7583665;22.06.2016;województwo podlaskie;2016;25
Merops apiaster;2;53.1920346;22.7564192;03.06.2016;województwo podlaskie;2016;22
Merops apiaster;2;53.1920346;22.7564192;03.06.2016;województwo podlaskie;2016;22
Merops apiaster;10;50.111631;18.865459;14.06.2016;województwo śląskie;2016;24
Merops apiaster;1;50.1262543;17.8367366;30.07.2016;województwo opolskie;2016;30
Merops apiaster;2;53.1908308;22.7562582;24.07.2016;województwo podlaskie;2016;29
Merops apiaster;-100;49.807854;22.809681;09.07.2016;województwo podkarpackie;2016;27
Merops apiaster;3;50.8062801;21.8599606;05.07.2016;województwo świętokrzyskie;2016;27
Merops apiaster;3;50.8062801;21.8599606;05.07.2016;województwo świętokrzyskie;2016;27
Merops apiaster;3;50.8062801;21.8599606;05.07.2016;województwo świętokrzyskie;2016;27
Merops apiaster;31;50.6011279;23.5963657;28.08.2016;województwo lubelskie;2016;34
Merops apiaster;7;50.105301;20.0340414;09.08.2016;województwo małopolskie;2016;32
Merops apiaster;5;53.1920635;22.7583665;28.05.2017;województwo podlaskie;2017;21
Merops apiaster;-100;53.5880216;22.7804947;20.05.2017;województwo podlaskie;2017;20
Merops apiaster;1;52.9941777;23.6832994;28.05.2017;województwo podlaskie;2017;21
Merops apiaster;-100;53.1920635;22.7583665;30.05.2017;województwo podlaskie;2017;22
Merops apiaster;4;53.1920635;22.7583665;26.05.2017;województwo podlaskie;2017;21
Merops apiaster;3;53.1911564;22.7549763;26.05.2017;województwo podlaskie;2017;21
Merops apiaster;1;54.7034049;18.6518805;28.05.2017;województwo pomorskie;2017;21
Merops apiaster;1;54.7034049;18.6518805;28.05.2017;województwo pomorskie;2017;21
Merops apiaster;1;50.966686;23.95399;24.06.2017;województwo lubelskie;2017;25
Merops apiaster;2;50.1235277;20.5573425;10.06.2017;województwo małopolskie;2017;23
Merops apiaster;10;52.096529;16.382824;02.06.2017;województwo wielkopolskie;2017;22
Merops apiaster;1;50.502543;24.058904;12.07.2017;województwo lubelskie;2017;28
Merops apiaster;-100;49.807854;22.809681;12.07.2017;województwo podkarpackie;2017;28
Merops apiaster;36;50.1161094;20.4748537;26.08.2017;województwo małopolskie;2017;34
Merops apiaster;4;50.1232881;22.3713591;15.08.2017;województwo podkarpackie;2017;33
Merops apiaster;7;50.0786935;20.4018465;19.05.2018;województwo małopolskie;2018;20
Merops apiaster;3;51.2527215;21.0347754;31.05.2018;województwo mazowieckie;2018;22
Merops apiaster;5;52.7039289;23.8462114;15.05.2018;województwo podlaskie;2018;20
Merops apiaster;6;53.1920635;22.7583665;20.05.2018;województwo podlaskie;2018;20
Merops apiaster;-100;53.1920635;22.7583665;10.06.2018;województwo podlaskie;2018;23
Merops apiaster;-100;53.1922;22.7497;10.06.2018;województwo podlaskie;2018;23
Merops apiaster;1;53.1920635;22.7583665;10.06.2018;województwo podlaskie;2018;23
Merops apiaster;-100;53.192;22.7496;10.06.2018;województwo podlaskie;2018;23
Merops apiaster;-100;53.1928;22.7494;10.06.2018;województwo podlaskie;2018;23
Merops apiaster;-100;53.1932;22.7533;10.06.2018;województwo podlaskie;2018;23
Merops apiaster;5;52.096138;16.383754;02.06.2018;województwo wielkopolskie;2018;22
Merops apiaster;2;51.5958356;18.6789645;29.07.2018;województwo łódzkie;2018;30
Merops apiaster;6;53.1920635;22.7583665;04.07.2018;województwo podlaskie;2018;27
Merops apiaster;8;52.096529;16.382824;22.07.2018;województwo wielkopolskie;2018;29
Merops apiaster;80;50.4515568;23.7281483;27.08.2018;województwo lubelskie;2018;35
Merops apiaster;6;50.462684;17.117854;27.08.2018;województwo opolskie;2018;35
Merops apiaster;23;50.462684;17.117854;27.08.2018;województwo opolskie;2018;35
Merops apiaster;-100;50.481236;24.017352;01.09.2018;województwo lubelskie;2018;35
Merops apiaster;12;50.444836;23.87677;02.09.2018;województwo lubelskie;2018;35
Merops apiaster;45;50.472507;23.752833;01.09.2018;województwo lubelskie;2018;35
Merops apiaster;1;54.7344672;18.5790649;24.04.2019;województwo pomorskie;2019;17
Merops apiaster;1;50.9432103;16.3409404;19.05.2019;województwo dolnośląskie;2019;20
Merops apiaster;20;50.7136415;17.9936256;20.05.2019;województwo opolskie;2019;21
Merops apiaster;2;53.1920635;22.7583665;18.05.2019;województwo podlaskie;2019;20
Merops apiaster;2;53.1920635;22.7583665;18.05.2019;województwo podlaskie;2019;20
Merops apiaster;2;53.1920635;22.7583665;18.05.2019;województwo podlaskie;2019;20
Merops apiaster;2;53.1920635;22.7583665;18.05.2019;województwo podlaskie;2019;20
Merops apiaster;12;53.3697794;22.5901866;23.05.2019;województwo podlaskie;2019;21
Merops apiaster;-100;49.3068634;22.0443111;25.05.2019;województwo podkarpackie;2019;21
Merops apiaster;1;54.5949805;18.8128121;22.05.2019;województwo pomorskie;2019;21
Merops apiaster;5;54.5949805;18.8128121;31.05.2019;województwo pomorskie;2019;22
Merops apiaster;4;51.814551;18.71399;29.06.2019;województwo łódzkie;2019;26
Merops apiaster;10;51.4064861;22.4489878;16.06.2019;województwo lubelskie;2019;24
Merops apiaster;10;50.6813857;23.3472374;22.06.2019;województwo lubelskie;2019;25
Merops apiaster;25;50.1632729;20.5790478;15.06.2019;województwo małopolskie;2019;24
Merops apiaster;2;53.1920635;22.7583665;26.06.2019;województwo podlaskie;2019;26
Merops apiaster;3;53.1920635;22.7583665;07.06.2019;województwo podlaskie;2019;23
Merops apiaster;2;53.1920635;22.7583665;18.06.2019;województwo podlaskie;2019;25
Merops apiaster;10;52.1207159;16.0510344;05.06.2019;województwo wielkopolskie;2019;23
Merops apiaster;8;51.4690438;16.9071366;16.07.2019;województwo dolnośląskie;2019;29
Merops apiaster;1;51.4690438;16.9071366;09.07.2019;województwo dolnośląskie;2019;28
Merops apiaster;5;51.4690438;16.9071366;18.07.2019;województwo dolnośląskie;2019;29
Merops apiaster;3;51.4690438;16.9071366;17.07.2019;województwo dolnośląskie;2019;29
Merops apiaster;12;51.1175076;16.7347248;21.07.2019;województwo dolnośląskie;2019;29
Merops apiaster;1;50.0352432;23.1979108;07.07.2019;województwo podkarpackie;2019;27
Merops apiaster;6;51.4690438;16.9071366;03.08.2019;województwo dolnośląskie;2019;31
Merops apiaster;12;51.699043;16.521923;01.08.2019;województwo dolnośląskie;2019;31
Merops apiaster;17;50.0159704;19.4024121;31.08.2019;województwo małopolskie;2019;35
Merops apiaster;4;50.1917931;20.1283828;26.08.2019;województwo małopolskie;2019;35
Merops apiaster;6;50.2064668;20.7751782;30.08.2019;województwo małopolskie;2019;35
Merops apiaster;8;51.972354;21.263082;30.08.2019;województwo mazowieckie;2019;35
Merops apiaster;28;50.0448799;21.9123048;15.08.2019;województwo podkarpackie;2019;33
Merops apiaster;25;50.0086582;21.9928333;20.08.2019;województwo podkarpackie;2019;34
Merops apiaster;12;50.4615288;20.5289824;25.08.2019;województwo świętokrzyskie;2019;34
Merops apiaster;80;50.4615288;20.5289824;17.08.2019;województwo świętokrzyskie;2019;33
Merops apiaster;22;50.632537;21.058096;17.08.2019;województwo świętokrzyskie;2019;33
Merops apiaster;70;52.8278692;14.1639664;06.09.2019;województwo zachodniopomorskie;2019;36
Merops apiaster;1;51.686848;18.62548;23.05.2020;województwo łódzkie;2020;21
Merops apiaster;8;50.8772124;22.6287223;09.05.2020;województwo lubelskie;2020;19
Merops apiaster;4;51.145388;23.670591;23.05.2020;województwo lubelskie;2020;21
Merops apiaster;4;51.145388;23.670591;23.05.2020;województwo lubelskie;2020;21
Merops apiaster;4;51.1467352;23.657944;23.05.2020;województwo lubelskie;2020;21
Merops apiaster;-100;50.1549826;20.5779967;22.05.2020;województwo małopolskie;2020;21
Merops apiaster;-100;50.149962;20.5629096;22.05.2020;województwo małopolskie;2020;21
Merops apiaster;15;49.9766543;19.4193146;13.05.2020;województwo małopolskie;2020;20
Merops apiaster;1;49.9991707;22.9583573;19.05.2020;województwo podkarpackie;2020;21
Merops apiaster;5;49.9161459;22.8816741;22.05.2020;województwo podkarpackie;2020;21
Merops apiaster;1;54.6148087;18.7788887;25.05.2020;województwo pomorskie;2020;22
Merops apiaster;1;50.3275076;20.6520099;17.05.2020;województwo świętokrzyskie;2020;20
Merops apiaster;2;49.9714229;18.9728176;17.05.2020;województwo śląskie;2020;20
Merops apiaster;1;50.880352;14.9000172;17.06.2020;województwo dolnośląskie;2020;25
Merops apiaster;1;50.880352;14.9000172;17.06.2020;województwo dolnośląskie;2020;25
