SCIENTIFIC NAME;OBSERVATION COUNT;LATITUDE;LONGITUDE;OBSERVATION DATE;STATE;YEAR;WEEK OF YEAR
Motacilla alba;1;53.0506557;17.4171495;05.06.1970;województwo kujawsko-pomorskie;1970;23
Motacilla alba;60;53.8959095;14.492286;28.06.1970;województwo zachodniopomorskie;1970;26
Motacilla alba;4;52.8117684;15.0569762;23.07.1970;województwo lubuskie;1970;30
Motacilla alba;2;51.6422125;19.3874789;19.07.1970;województwo łódzkie;1970;29
Motacilla alba;2;52.8444015;21.9672041;16.07.1970;województwo mazowieckie;1970;29
Motacilla alba;12;53.5930818;22.8638167;10.07.1970;województwo podlaskie;1970;28
Motacilla alba;2;52.7061066;23.7997127;14.07.1970;województwo podlaskie;1970;29
Motacilla alba;2;53.8344772;23.0064476;09.07.1970;województwo podlaskie;1970;28
Motacilla alba;14;52.6910951;23.719697;15.07.1970;województwo podlaskie;1970;29
Motacilla alba;16;52.7008038;23.8633215;11.07.1970;województwo podlaskie;1970;28
Motacilla alba;1;52.7834967;23.0916309;15.07.1970;województwo podlaskie;1970;29
Motacilla alba;15;52.7061066;23.7997127;13.07.1970;województwo podlaskie;1970;29
Motacilla alba;25;52.7061066;23.7997127;12.07.1970;województwo podlaskie;1970;28
Motacilla alba;14;52.9169732;23.5210075;10.07.1970;województwo podlaskie;1970;28
Motacilla alba;4;52.9077305;22.9226303;15.07.1970;województwo podlaskie;1970;29
Motacilla alba;3;54.6996303;17.3082733;01.07.1970;województwo pomorskie;1970;27
Motacilla alba;25;54.2602897;18.941627;02.07.1970;województwo pomorskie;1970;27
Motacilla alba;2;53.9247239;14.278627;25.07.1970;województwo zachodniopomorskie;1970;30
Motacilla alba;1;49.5670349;19.8659493;10.03.1977;województwo małopolskie;1977;10
Motacilla alba;1;50.766539;19.171726;20.05.1980;województwo śląskie;1980;21
Motacilla alba;10;49.2962679;19.9486334;12.07.1980;województwo małopolskie;1980;28
Motacilla alba;1;49.2711079;20.1198136;14.07.1980;województwo małopolskie;1980;29
Motacilla alba;-100;53.9134767;14.2721103;10.07.1980;województwo zachodniopomorskie;1980;28
Motacilla alba;3;54.1569281;22.4169782;04.04.1982;województwo warmińsko-mazurskie;1982;13
Motacilla alba;-100;54.13;22.19;10.07.1982;województwo warmińsko-mazurskie;1982;27
Motacilla alba;2;52.7038248;23.8297105;19.03.1983;województwo podlaskie;1983;11
Motacilla alba;-100;54.1569281;22.4169782;02.04.1983;województwo warmińsko-mazurskie;1983;13
Motacilla alba;2;54.1569281;22.4169782;08.05.1983;województwo warmińsko-mazurskie;1983;18
Motacilla alba;-100;49.9314406;18.9139686;16.09.1983;województwo śląskie;1983;37
Motacilla alba;1;52.4849102;20.965358;09.06.1984;województwo mazowieckie;1984;23
Motacilla alba;4;53.8485;23.132;21.04.1985;województwo podlaskie;1985;16
Motacilla alba;4;53.397;22.035;06.04.1985;województwo podlaskie;1985;14
Motacilla alba;2;53.397;22.035;07.04.1985;województwo podlaskie;1985;14
Motacilla alba;4;54.1472997;22.8435562;04.05.1985;województwo podlaskie;1985;18
Motacilla alba;2;51.168219;22.7326171;26.03.1986;województwo lubelskie;1986;13
Motacilla alba;21;54.394;18.568;20.04.1986;województwo pomorskie;1986;16
Motacilla alba;-100;54.3599323;18.7983155;26.04.1986;województwo pomorskie;1986;17
Motacilla alba;-100;54.717;18.63;13.04.1986;województwo pomorskie;1986;15
Motacilla alba;-100;53.4662306;18.391896;09.05.1986;województwo kujawsko-pomorskie;1986;19
Motacilla alba;-100;53.627;18.4;10.05.1986;województwo kujawsko-pomorskie;1986;19
Motacilla alba;-100;54.13;22.19;03.05.1986;województwo warmińsko-mazurskie;1986;18
Motacilla alba;2;54.7733428;17.627821;20.06.1986;województwo pomorskie;1986;25
