SCIENTIFIC NAME;OBSERVATION COUNT;LATITUDE;LONGITUDE;OBSERVATION DATE;STATE;YEAR;WEEK OF YEAR
Motacilla citreola;1;52.906003;23.827904;28.05.1995;województwo podlaskie;1995;21
Motacilla citreola;2;52.9401557;23.7570763;17.05.1995;województwo podlaskie;1995;20
Motacilla citreola;1;53.3875655;22.5732565;02.05.1996;województwo podlaskie;1996;18
Motacilla citreola;4;52.9345689;23.8265991;26.05.1997;województwo podlaskie;1997;22
Motacilla citreola;3;52.9246352;23.8150978;16.05.2000;województwo podlaskie;2000;20
Motacilla citreola;9;54.6431729;18.459464;10.06.2000;województwo pomorskie;2000;23
Motacilla citreola;1;52.9246352;23.8150978;12.08.2000;województwo podlaskie;2000;32
Motacilla citreola;2;52.9246352;23.8150978;17.05.2001;województwo podlaskie;2001;20
Motacilla citreola;1;52.9246352;23.8150978;25.05.2001;województwo podlaskie;2001;21
Motacilla citreola;3;52.9246352;23.8150978;16.05.2002;województwo podlaskie;2002;20
Motacilla citreola;4;52.9246352;23.8150978;30.05.2002;województwo podlaskie;2002;22
Motacilla citreola;5;53.4289086;22.5337127;31.05.2002;województwo podlaskie;2002;22
Motacilla citreola;2;53.4289086;22.5337127;30.05.2002;województwo podlaskie;2002;22
Motacilla citreola;2;53.3163646;22.4655175;17.05.2003;województwo podlaskie;2003;20
Motacilla citreola;2;52.9246352;23.8150978;13.05.2003;województwo podlaskie;2003;20
Motacilla citreola;2;53.5880216;22.7804947;15.05.2004;województwo podlaskie;2004;20
Motacilla citreola;1;52.9002729;23.8836497;15.05.2004;województwo podlaskie;2004;20
Motacilla citreola;3;52.9246352;23.8150978;13.05.2004;województwo podlaskie;2004;20
Motacilla citreola;3;52.9246352;23.8150978;28.05.2004;województwo podlaskie;2004;22
Motacilla citreola;3;52.9246352;23.8150978;28.05.2004;województwo podlaskie;2004;22
Motacilla citreola;2;52.9246352;23.8150978;14.05.2004;województwo podlaskie;2004;20
Motacilla citreola;3;52.9246352;23.8150978;28.05.2004;województwo podlaskie;2004;22
Motacilla citreola;1;52.5920472;14.789443;18.06.2004;województwo lubuskie;2004;25
Motacilla citreola;1;52.9246352;23.8150978;14.05.2005;województwo podlaskie;2005;19
Motacilla citreola;1;52.9246352;23.8150978;08.05.2005;województwo podlaskie;2005;18
Motacilla citreola;2;52.9246352;23.8150978;11.05.2005;województwo podlaskie;2005;19
Motacilla citreola;2;52.9401557;23.7570763;16.05.2005;województwo podlaskie;2005;20
Motacilla citreola;3;52.9246352;23.8150978;10.05.2005;województwo podlaskie;2005;19
Motacilla citreola;2;52.904428;23.834701;29.05.2006;województwo podlaskie;2006;22
Motacilla citreola;2;52.9246352;23.8150978;13.05.2006;województwo podlaskie;2006;19
Motacilla citreola;1;52.0922044;18.8601256;13.05.2006;województwo wielkopolskie;2006;19
Motacilla citreola;1;53.8602918;14.3209746;07.05.2006;województwo zachodniopomorskie;2006;18
Motacilla citreola;1;49.9874979;19.5963058;13.07.2006;województwo małopolskie;2006;28
Motacilla citreola;1;50.0047016;19.4818765;05.07.2006;województwo małopolskie;2006;27
Motacilla citreola;1;52.9319552;23.8025944;01.07.2006;województwo podlaskie;2006;26
Motacilla citreola;1;50.0047016;19.4818765;29.08.2006;województwo małopolskie;2006;35
Motacilla citreola;1;50.0047016;19.4818765;29.08.2006;województwo małopolskie;2006;35
Motacilla citreola;1;52.9246352;23.8150978;14.04.2007;województwo podlaskie;2007;15
Motacilla citreola;2;52.9246352;23.8150978;11.05.2007;województwo podlaskie;2007;19
Motacilla citreola;-100;52.9246352;23.8150978;15.05.2007;województwo podlaskie;2007;20
Motacilla citreola;1;52.9246352;23.8150978;29.05.2007;województwo podlaskie;2007;22
Motacilla citreola;-100;52.9246352;23.8150978;16.05.2007;województwo podlaskie;2007;20
Motacilla citreola;-100;52.9246352;23.8150978;16.05.2007;województwo podlaskie;2007;20
Motacilla citreola;1;52.9246352;23.8150978;04.05.2007;województwo podlaskie;2007;18
Motacilla citreola;1;52.9246352;23.8150978;04.05.2007;województwo podlaskie;2007;18
Motacilla citreola;2;52.9246352;23.8150978;07.05.2007;województwo podlaskie;2007;19
Motacilla citreola;1;50.0159704;19.4024121;06.05.2008;województwo małopolskie;2008;19
Motacilla citreola;2;52.9246352;23.8150978;19.05.2008;województwo podlaskie;2008;21
Motacilla citreola;1;52.9246352;23.8150978;20.05.2008;województwo podlaskie;2008;21
Motacilla citreola;1;50.0159704;19.4024121;08.06.2008;województwo małopolskie;2008;23
Motacilla citreola;2;50.7241769;18.1201458;05.06.2008;województwo opolskie;2008;23
Motacilla citreola;1;53.3488958;22.5846156;17.06.2008;województwo podlaskie;2008;25
Motacilla citreola;-100;52.9002729;23.8836497;07.06.2008;województwo podlaskie;2008;23
Motacilla citreola;-100;50.7241769;18.1201458;19.08.2008;województwo opolskie;2008;34
Motacilla citreola;1;52.932987;23.853671;20.08.2008;województwo podlaskie;2008;34
Motacilla citreola;-100;52.9149976;23.843651;20.08.2008;województwo podlaskie;2008;34
Motacilla citreola;1;49.7185159;19.197267;28.08.2008;województwo śląskie;2008;35
Motacilla citreola;1;53.4288283;22.533745;25.04.2009;województwo podlaskie;2009;17
Motacilla citreola;1;50.6522081;17.9235043;13.05.2009;województwo opolskie;2009;20
Motacilla citreola;2;52.9246352;23.8150978;27.05.2009;województwo podlaskie;2009;22
Motacilla citreola;2;52.9246352;23.8150978;26.05.2009;województwo podlaskie;2009;22
Motacilla citreola;-100;53.3340696;22.525878;16.05.2009;województwo podlaskie;2009;20
Motacilla citreola;-100;53.3340696;22.525878;16.05.2009;województwo podlaskie;2009;20
Motacilla citreola;-100;52.9246352;23.8150978;12.05.2009;województwo podlaskie;2009;20
Motacilla citreola;1;52.9246352;23.8150978;12.05.2009;województwo podlaskie;2009;20
Motacilla citreola;2;53.4289086;22.5337127;28.05.2009;województwo podlaskie;2009;22
Motacilla citreola;2;52.9246352;23.8150978;30.05.2009;województwo podlaskie;2009;22
Motacilla citreola;2;53.1091;23.222;30.05.2009;województwo podlaskie;2009;22
Motacilla citreola;-100;52.9246352;23.8150978;12.05.2009;województwo podlaskie;2009;20
Motacilla citreola;-100;53.3340696;22.525878;16.05.2009;województwo podlaskie;2009;20
Motacilla citreola;2;52.9246352;23.8150978;27.05.2009;województwo podlaskie;2009;22
Motacilla citreola;-100;53.4946073;22.7291787;10.05.2009;województwo podlaskie;2009;19
Motacilla citreola;1;52.9246352;23.8150978;19.05.2009;województwo podlaskie;2009;21
Motacilla citreola;2;53.5880216;22.7804947;29.05.2009;województwo podlaskie;2009;22
Motacilla citreola;4;54.646525;18.465075;02.05.2009;województwo pomorskie;2009;18
Motacilla citreola;3;53.5573267;22.9076533;23.06.2009;województwo podlaskie;2009;26
Motacilla citreola;5;54.6431729;18.459464;15.06.2009;województwo pomorskie;2009;25
Motacilla citreola;-100;53.5880216;22.7804947;05.05.2010;województwo podlaskie;2010;18
Motacilla citreola;1;53.4289086;22.5337127;26.05.2010;województwo podlaskie;2010;21
Motacilla citreola;1;53.4289086;22.5337127;02.05.2010;województwo podlaskie;2010;17
Motacilla citreola;1;53.4289086;22.5337127;26.05.2010;województwo podlaskie;2010;21
Motacilla citreola;1;53.3875655;22.5732565;20.05.2010;województwo podlaskie;2010;20
Motacilla citreola;6;53.2058647;14.9177961;06.06.2010;województwo zachodniopomorskie;2010;22
Motacilla citreola;6;53.2058647;14.9177961;01.06.2010;województwo zachodniopomorskie;2010;22
Motacilla citreola;1;52.7011415;23.8520989;30.05.2011;województwo podlaskie;2011;22
Motacilla citreola;1;52.9246352;23.8150978;10.05.2011;województwo podlaskie;2011;19
Motacilla citreola;-100;53.3460082;22.5474644;15.05.2011;województwo podlaskie;2011;19
Motacilla citreola;3;53.5880216;22.7804947;27.05.2011;województwo podlaskie;2011;21
Motacilla citreola;2;52.9401557;23.7570763;25.05.2011;województwo podlaskie;2011;21
Motacilla citreola;-100;53.5880216;22.7804947;16.05.2011;województwo podlaskie;2011;20
Motacilla citreola;1;53.5880216;22.7804947;28.05.2011;województwo podlaskie;2011;21
Motacilla citreola;-100;53.3460082;22.5474644;15.05.2011;województwo podlaskie;2011;19
Motacilla citreola;-100;53.1741207;22.401309;14.05.2011;województwo podlaskie;2011;19
Motacilla citreola;1;52.9246352;23.8150978;17.05.2011;województwo podlaskie;2011;20
Motacilla citreola;-100;53.7349998;23.3346969;08.06.2011;województwo podlaskie;2011;23
Motacilla citreola;1;53.5416407;22.8768728;02.06.2011;województwo podlaskie;2011;22
Motacilla citreola;-100;53.5880216;22.7804947;07.06.2011;województwo podlaskie;2011;23
Motacilla citreola;1;53.2808649;22.5186838;16.06.2011;województwo podlaskie;2011;24
Motacilla citreola;-100;53.5580323;22.8591966;15.06.2011;województwo podlaskie;2011;24
Motacilla citreola;-100;53.7349998;23.3346969;08.06.2011;województwo podlaskie;2011;23
Motacilla citreola;-100;53.4235321;22.7950067;03.06.2011;województwo podlaskie;2011;22
Motacilla citreola;4;53.5416407;22.8768728;03.06.2011;województwo podlaskie;2011;22
Motacilla citreola;1;53.2856239;22.6054282;17.06.2011;województwo podlaskie;2011;24
Motacilla citreola;-100;53.7349998;23.3346969;08.06.2011;województwo podlaskie;2011;23
Motacilla citreola;-100;54.3412555;18.8960018;07.06.2011;województwo pomorskie;2011;23
Motacilla citreola;-100;52.932987;23.853671;06.08.2011;województwo podlaskie;2011;31
Motacilla citreola;-100;49.4569204;19.6422099;28.04.2012;województwo małopolskie;2012;17
Motacilla citreola;3;53.2955146;22.9034185;18.04.2012;województwo podlaskie;2012;16
Motacilla citreola;1;52.9014489;23.8537851;01.05.2012;województwo podlaskie;2012;18
Motacilla citreola;1;52.9246352;23.8150978;09.06.2012;województwo podlaskie;2012;23
Motacilla citreola;8;54.6431729;18.459464;24.06.2012;województwo pomorskie;2012;25
Motacilla citreola;2;53.2925359;22.5355009;12.07.2012;województwo podlaskie;2012;28
Motacilla citreola;1;49.4110513;20.3281068;22.04.2013;województwo małopolskie;2013;17
Motacilla citreola;-100;53.5880216;22.7804947;17.05.2013;województwo podlaskie;2013;20
Motacilla citreola;2;53.3875655;22.5732565;24.05.2013;województwo podlaskie;2013;21
Motacilla citreola;2;54.6431729;18.459464;04.05.2013;województwo pomorskie;2013;18
Motacilla citreola;-100;53.4870659;22.6327747;07.06.2013;województwo podlaskie;2013;23
Motacilla citreola;2;53.4870659;22.6327747;06.06.2013;województwo podlaskie;2013;23
Motacilla citreola;1;53.5880216;22.7804947;30.04.2014;województwo podlaskie;2014;18
Motacilla citreola;1;49.4569204;19.6422099;10.05.2014;województwo małopolskie;2014;19
Motacilla citreola;2;49.4569204;19.6422099;31.05.2014;województwo małopolskie;2014;22
Motacilla citreola;-100;52.8095951;22.6497676;03.05.2014;województwo podlaskie;2014;18
Motacilla citreola;-100;53.5930818;22.8638167;07.05.2014;województwo podlaskie;2014;19
Motacilla citreola;2;53.3875655;22.5732565;15.05.2014;województwo podlaskie;2014;20
Motacilla citreola;-100;53.5930818;22.8638167;07.05.2014;województwo podlaskie;2014;19
