SCIENTIFIC NAME;OBSERVATION COUNT;LATITUDE;LONGITUDE;OBSERVATION DATE;STATE;YEAR;WEEK OF YEAR
Phalacrocorax carbo;4;52.8117684;15.0569762;23.07.1970;województwo lubuskie;1970;30
Phalacrocorax carbo;2;52.9077305;22.9226303;15.07.1970;województwo podlaskie;1970;29
Phalacrocorax carbo;5;53.8344772;23.0064476;09.07.1970;województwo podlaskie;1970;28
Phalacrocorax carbo;2;52.9169732;23.5210075;10.07.1970;województwo podlaskie;1970;28
Phalacrocorax carbo;9;53.801107;21.636318;05.07.1970;województwo warmińsko-mazurskie;1970;27
Phalacrocorax carbo;1;54.0738744;19.4730646;03.07.1970;województwo warmińsko-mazurskie;1970;27
Phalacrocorax carbo;1;53.3328207;19.4345999;08.07.1975;województwo kujawsko-pomorskie;1975;28
Phalacrocorax carbo;-100;54.34702;18.64351;16.07.1978;województwo pomorskie;1978;28
Phalacrocorax carbo;-100;54.115;22.206;13.06.1982;województwo warmińsko-mazurskie;1982;23
Phalacrocorax carbo;1;50.783745;19.172241;12.03.1983;województwo śląskie;1983;10
Phalacrocorax carbo;18;49.9314406;18.9139686;16.09.1983;województwo śląskie;1983;37
Phalacrocorax carbo;40;54.117;22.173;29.09.1984;województwo warmińsko-mazurskie;1984;39
Phalacrocorax carbo;3;54.1751206;22.5603493;28.10.1984;województwo podlaskie;1984;43
Phalacrocorax carbo;150;54.3478245;18.8782811;30.03.1985;województwo pomorskie;1985;13
Phalacrocorax carbo;50;54.3475772;18.9588833;23.06.1985;województwo pomorskie;1985;25
Phalacrocorax carbo;1;54.7034049;18.6518805;21.07.1985;województwo pomorskie;1985;29
Phalacrocorax carbo;2;54.7034049;18.6518805;23.07.1985;województwo pomorskie;1985;30
Phalacrocorax carbo;1;54.1649818;22.545472;21.08.1985;województwo podlaskie;1985;34
Phalacrocorax carbo;2;54.3602495;18.9460784;06.10.1985;województwo pomorskie;1985;40
Phalacrocorax carbo;6;54.6004241;18.8022316;16.03.1986;województwo pomorskie;1986;11
Phalacrocorax carbo;1;54.717;18.63;13.04.1986;województwo pomorskie;1986;15
Phalacrocorax carbo;1;54.13;22.19;14.07.1986;województwo warmińsko-mazurskie;1986;29
Phalacrocorax carbo;40;54.13;22.19;27.07.1986;województwo warmińsko-mazurskie;1986;30
Phalacrocorax carbo;37;54.13;22.19;20.07.1986;województwo warmińsko-mazurskie;1986;29
Phalacrocorax carbo;30;54.7034049;18.6518805;06.08.1986;województwo pomorskie;1986;32
Phalacrocorax carbo;8;54.792;18.425;21.03.1987;województwo pomorskie;1987;12
Phalacrocorax carbo;10;54.442;18.576;29.03.1987;województwo pomorskie;1987;13
Phalacrocorax carbo;750;54.3475772;18.9588833;16.05.1987;województwo pomorskie;1987;20
Phalacrocorax carbo;8;54.294;19.251;23.05.1987;województwo pomorskie;1987;21
Phalacrocorax carbo;-100;54.348;19.201;23.05.1987;województwo pomorskie;1987;21
